"par","family","link","prior_type","prior_dist","reads_response","anchor_of_mean","anchor_of_mode","sd_over_y_range_min","sd_over_y_range_max","p_truth_min","p_truth_max","cells_outside_95","n_cells","example_prior","lb","ub","jss_specification"
"top","Gamma","identity","uninformative","gamma",TRUE,"y_q75","none (fixed prior)",0.374873203109538,0.658194180014927,0.552750996754784,0.664683255678829,0,15,"gamma(2, 0.225056233032597)",0,NA,"gamma shape 2, mean at q75 of response"
"top","Gamma","log","uninformative","normal",TRUE,"y_q90","y_q90",0.518617841881462,0.818867240026371,0.41651010280979,0.494551126726646,0,15,"normal(2.4672755949219, 1.74619400507973)",NA,NA,"normal, mean at q90 of response on link scale, sd 2.5 * sd(y)"
"top","gaussian","identity","uninformative","normal",TRUE,"y_q90","y_q90",0.590157890447946,0.949754692774906,0.458023654154337,0.490777384490994,0,15,"normal(10.2053018281803, 8.87994121276002)",NA,NA,"normal, mean at q90 of response on link scale, sd 2.5 * sd(y)"
"top","gaussian","log","uninformative","normal",TRUE,"y_q90","y_q90",0.538693515599185,0.877702549441615,0.478539963354291,0.500364756002048,0,15,"normal(2.34571094565984, 1.68094243308006)",NA,NA,"normal, mean at q90 of response on link scale, sd 2.5 * sd(y)"
"top","hurdle_gamma","identity","uninformative","gamma",TRUE,"y_q75","y_q10",0.416378871766931,0.637820213688285,0.521377833451961,0.652611848359874,0,15,"gamma(2, 0.202566880440714)",0,NA,"gamma shape 2, mean at q75 of response"
"top","hurdle_gamma","log","uninformative","gamma",TRUE,"y_q75","y_q25",0.439619571618631,0.686817637801893,0.0636007289968828,0.0958916268732916,0,15,"gamma(2, 0.225218634709013)",0,NA,"normal, mean at q90 of response on link scale, sd 2.5 * sd(y)"
"top","negbinomial","identity","uninformative","gamma",TRUE,"y_q75","none (fixed prior)",0.215473700601832,0.491900369521076,0.467397118188148,0.716718317322174,0,15,"gamma(2, 0.0625073990765952)",0,NA,"gamma shape 2, mean at q75 of response"
"top","negbinomial","log","uninformative","normal",TRUE,"y_q90","y_q90",0.382718197071542,0.72646257558382,0.405736799967774,0.493093213069088,0,15,"normal(3.98891649188475, 3.60419295125299)",NA,NA,"normal, mean at q90 of response on link scale, sd 2.5 * sd(y)"
"top","poisson","identity","uninformative","gamma",TRUE,"y_q75","none (fixed prior)",0.44783429475148,0.628121449245497,0.558052621848543,0.621736672823128,0,15,"gamma(2, 0.0516129032258065)",0,NA,"gamma shape 2, mean at q75 of response"
"top","poisson","log","uninformative","normal",TRUE,"y_q90","y_q90",0.404947754734859,0.851202702062859,0.460117039829314,0.490971356710801,0,15,"normal(3.8286413964891, 2.33133357053654)",NA,NA,"normal, mean at q90 of response on link scale, sd 2.5 * sd(y)"
"top","zero_inflated_beta","identity","uninformative","beta",FALSE,"fixed","fixed",0.160576069418329,0.167147460190482,0.885735,0.885735,0,15,"beta(5, 2)",0,1,"fixed beta(5, 2)"
"top","zero_inflated_beta","logit","uninformative","beta",FALSE,"fixed","fixed",0.160897231021259,0.166721638531417,1,1,15,15,"beta(5, 2)",0,1,"normal, mean at q90 of response on link scale, sd 2.5 * sd(y)"
"top","zero_inflated_negbinomial","identity","uninformative","gamma",TRUE,"none (fixed prior)","none (fixed prior)",0.148686333872716,0.436690596375723,0.507414965714452,0.821387457452092,0,15,"gamma(2, 0.0786065207682001)",0,NA,"gamma shape 2, mean at q75 of response"
"top","zero_inflated_negbinomial","log","uninformative","normal",TRUE,"y_q90","y_q90",0.736617370684795,0.997223515519156,0.473506694217467,0.501328765110927,0,15,"normal(3.82873973533897, 8.2210850397956)",NA,NA,"normal, mean at q90 of response on link scale, sd 2.5 * sd(y)"
"top","zero_inflated_poisson","identity","uninformative","gamma",TRUE,"y_q75","none (fixed prior)",0.471404520791032,0.61616128637356,0.516696152729677,0.681171919058967,0,15,"gamma(2, 0.0526315789473684)",0,NA,"gamma shape 2, mean at q75 of response"
"top","zero_inflated_poisson","log","uninformative","normal",TRUE,"y_q90","y_q90",0.79515985346961,1.06514732896067,0.488819511614835,0.499370487629576,0,15,"normal(3.73770771279586, 6.97762205788454)",NA,NA,"normal, mean at q90 of response on link scale, sd 2.5 * sd(y)"
