"dataset","arm","spec","erc50","erc50_lo","erc50_hi","nsec","max_rhat","divergent"
12,"B2","disp",4.64305338171955,3.7181423495045,5.90093238553202,1.85654365123989,1.00249348898387,0
12,"B3","disp",4.25459074818923,3.86612811465891,4.71704626429676,1.83683195222042,1.00140844314942,0
12,"C","disp",4.55056227849805,4.03261210045762,5.05001423589418,1.75711858562611,1.0032998546568,0
12,"D","disp",4.52877060156239,3.96098808552483,5.14453473867354,1.75058537163118,1.00405674642032,0
12,"A","homosced",4.51356583720945,4.03261210045762,5.08701067718278,2.01802003984197,1.00354181654164,0
12,"B1","homosced",4.34708185141074,3.94012099723611,4.82803558816256,1.79134161050011,1.00360622240503,0
12,"B2","homosced",4.10660498303482,3.07070462695397,5.5124697520017,2.86718439219811,1.00870146513358,1
12,"B3","homosced",4.25459074818923,3.88462633530321,4.68004982300816,1.8436688798435,1.00271216687365,0
12,"C","homosced",4.64305338171955,4.23609252754493,5.06851245653848,1.76333895232819,1.00247923501195,0
12,"D","homosced",4.54476447525359,4.15291456981921,4.96860212807036,1.78400727344716,1.00477997534722,0
13,"A","disp",4.75404270558536,4.25459074818923,5.29049110427009,1.57646869633755,1.00402066069763,0
13,"B1","disp",4.6338042713974,4.05111032110192,5.36448398684729,1.64014280208657,1.00185515099773,0
13,"B2","disp",5.03151601524987,3.99561565916902,6.51137366679396,1.61370454885401,1.00482993153248,0
13,"B3","disp",4.51356583720945,3.95861921788042,5.17950178040428,1.70962458795198,1.00255354341963,0
13,"C","disp",4.66155160236385,4.08810676239052,5.36448398684729,1.58984964014637,1.00579568894608,0
13,"D","disp",4.88063582276876,4.11292988559122,5.87245591504424,1.54104076181809,1.00472200258824,0
13,"A","homosced",4.88353025009547,4.42107473398794,5.4384768694245,1.92900885563581,1.00212625100434,0
13,"B1","homosced",4.62455516107525,4.12510320367913,5.19800000104858,1.78375313860332,1.00479708205233,0
13,"B2","homosced",4.45807117527654,3.32967971597418,5.80844128231052,3.05800033865983,1.00242057191829,2
13,"B3","homosced",4.47656939592084,4.03261210045762,5.03151601524987,1.84588635789431,1.00142487759448,0
13,"C","homosced",4.88353025009547,4.40257651334364,5.38298220749159,1.69916916761285,1.00172865866297,0
13,"D","homosced",4.87263888592316,4.3128533067312,5.44861826222746,1.69106577905508,1.00270711297397,0
14,"A","disp",5.12400711847138,4.53206405785375,5.80844128231052,1.94856768074054,1.00207853673396,0
14,"B1","disp",5.17950178040428,4.51356583720945,6.01192170939783,2.01616258757213,1.00691685963609,0
14,"B2","disp",5.5124697520017,4.30962295460603,7.36275427194791,2.01054773834794,1.0037092987833,0
14,"B3","disp",5.01301779460557,4.42107473398794,5.73444839973331,2.11709777689696,1.00251366610647,0
14,"C","disp",5.17950178040428,4.47656939592084,5.95642704746493,1.93316498167267,1.00321052978135,0
14,"D","disp",5.38444284404153,4.43280735941519,7.1677597606102,1.91245001807652,1.00280479740663,2
14,"A","homosced",5.29049110427009,4.64305338171955,5.95642704746493,2.49491226940054,1.00345756867909,0
14,"B1","homosced",5.16100355975998,4.55056227849805,5.84543772359912,2.16917746711898,1.00138217861828,0
14,"B2","homosced",4.84653380880686,3.6071530256387,6.01192170939783,3.46825475222422,1.00641247288192,4
14,"B3","homosced",5.01301779460557,4.45807117527654,5.66045551715611,2.37261185253262,1.0011845814178,0
14,"C","homosced",5.34598576620299,4.79103914687396,5.95642704746493,2.00957514870583,1.00314285462672,0
14,"D","homosced",5.24049798082074,4.57675222263598,5.96821923377029,2.14656724465039,1.00301771669381,0
15,"A","disp",5.03151601524987,4.36558007205504,5.82693950295482,1.37665402694569,1.00372544388412,0
15,"B1","disp",4.90202847073977,4.10660498303482,5.82693950295482,1.47607771122176,1.00380326636756,0
15,"B2","disp",5.36448398684729,4.10660498303482,7.1962702861492,1.31705046722569,1.00123379816596,0
15,"B3","disp",4.75404270558536,4.08810676239052,5.5864626345789,1.50980744083586,1.00981921213515,0
15,"C","disp",5.01301779460557,4.21759430690063,5.90093238553202,1.346899398492,1.0035560857523,0
15,"D","disp",5.08855618075435,4.13672077270687,6.77590985517583,1.34059121934403,1.00280168268313,0
15,"A","homosced",5.30898932491439,4.64305338171955,6.08637704749114,2.24284015263611,1.00570440878453,0
